date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-05-13,荷属安的列斯,,,,,,12236,0,12006,117
2021-05-13,圣马丁,,,,,,2272,0,2213,27
2021-05-13,钻石公主号邮轮,,,,,,712,0,653,13
2021-05-13,安道尔,AD,,,,,13470,0,13104,127
2021-05-13,阿联酋,AE,,,,,540646,0,520882,1619
2021-05-13,阿富汗,AF,,,,,62942,0,54534,2721
2021-05-13,安提瓜和巴布达,AG,,,,,1240,0,1179,32
2021-05-13,安圭拉,AI,,,,,109,0,89,0
2021-05-13,阿尔巴尼亚,AL,,,,,131845,0,120072,2423
2021-05-13,亚美尼亚,AM,,,,,219950,0,206078,4272
2021-05-13,安哥拉,AO,,,,,29405,0,25187,645
2021-05-13,阿根廷,AR,,,,,3215572,0,2869341,68807
2021-05-13,奥地利,AT,,,,,633960,0,609666,10428
2021-05-13,澳大利亚,AU,,,,,29946,0,28815,910
2021-05-13,阿鲁巴,AW,,,,,10814,0,10613,104
2021-05-13,阿塞拜疆,AZ,,,,,328159,0,309771,4726
2021-05-13,波黑,BA,,,,,201796,0,167704,8943
2021-05-13,巴巴多斯,BB,,,,,3957,0,3879,46
2021-05-13,孟加拉国,BD,,,,,777397,0,718249,12045
2021-05-13,比利时,BE,,,,,1020332,0,897904,24609
2021-05-13,布基纳法索,BF,,,,,13387,0,13184,164
2021-05-13,保加利亚,BG,,,,,412814,0,357149,17150
2021-05-13,巴林,BH,,,,,194289,0,178458,705
2021-05-13,布隆迪,BI,,,,,4233,0,773,6
2021-05-13,贝宁,BJ,,,,,7995,0,7652,101
2021-05-13,圣巴泰勒米,BL,,,,,974,0,462,1
2021-05-13,百慕大,BM,,,,,2455,0,2182,31
2021-05-13,文莱,BN,,,,,231,0,220,3
2021-05-13,玻利维亚,BO,,,,,322578,0,265017,13308
2021-05-13,巴西,BR,,,,,15361686,0,13924217,428256
2021-05-13,巴哈马,BS,,,,,10966,0,9932,215
2021-05-13,不丹,BT,,,,,1257,0,1121,1
2021-05-13,博茨瓦纳,BW,,,,,49041,0,46290,751
2021-05-13,白俄罗斯,BY,,,,,371405,0,362112,2661
2021-05-13,伯利兹,BZ,,,,,12707,0,12320,323
2021-05-13,加拿大,CA,,,,,1305774,0,1204328,24766
2021-05-13,刚果（金）,CD,,,,,30429,0,26541,775
2021-05-13,中非,CF,,,,,6866,0,5112,95
2021-05-13,刚果（布）,CG,,,,,11343,0,8208,148
2021-05-13,瑞士,CH,,,,,677210,0,612471,10725
2021-05-13,科特迪瓦,CI,,,,,46516,0,45942,292
2021-05-13,智利,CL,,,,,1260448,0,1199432,27384
2021-05-13,喀麦隆,CM,,,,,74946,0,70497,1152
2021-05-13,中国,CN,,,,,103902,0,98532,4858
2021-05-13,中国,CN,北京市,110000,,,1057,0,1046,9
2021-05-13,中国,CN,北京市,110000,未公布来源,1100xx,6,0,822,9
2021-05-13,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-05-13,中国,CN,北京市,110000,境外输入,1100y0,229,0,197,0
2021-05-13,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-05-13,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-05-13,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-05-13,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-05-13,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-05-13,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-05-13,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-05-13,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-05-13,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-05-13,中国,CN,北京市,110000,顺义区,110113,45,0,1,0
2021-05-13,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-05-13,中国,CN,北京市,110000,大兴区,110115,134,0,16,0
2021-05-13,中国,CN,北京市,110000,怀柔区,110116,8,0,0,0
2021-05-13,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2021-05-13,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2021-05-13,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2021-05-13,中国,CN,天津市,120000,,,388,0,378,3
2021-05-13,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2021-05-13,中国,CN,天津市,120000,境外输入,1200y0,241,0,234,0
2021-05-13,中国,CN,天津市,120000,和平区,120101,6,0,6,0
2021-05-13,中国,CN,天津市,120000,河东区,120102,15,0,14,1
2021-05-13,中国,CN,天津市,120000,河西区,120103,4,0,4,0
2021-05-13,中国,CN,天津市,120000,南开区,120104,6,0,6,0
2021-05-13,中国,CN,天津市,120000,河北区,120105,12,0,12,0
2021-05-13,中国,CN,天津市,120000,红桥区,120106,2,0,2,0
2021-05-13,中国,CN,天津市,120000,东丽区,120110,4,0,4,0
2021-05-13,中国,CN,天津市,120000,西青区,120111,4,0,4,0
2021-05-13,中国,CN,天津市,120000,津南区,120112,2,0,2,0
2021-05-13,中国,CN,天津市,120000,北辰区,120113,7,0,7,0
2021-05-13,中国,CN,天津市,120000,武清区,120114,2,0,2,0
2021-05-13,中国,CN,天津市,120000,宝坻区,120115,60,0,58,2
2021-05-13,中国,CN,天津市,120000,滨海新区,120116,13,0,13,0
2021-05-13,中国,CN,天津市,120000,宁河区,120117,4,0,4,0
2021-05-13,中国,CN,天津市,120000,静海区,120118,0,0,0,0
2021-05-13,中国,CN,天津市,120000,蓟州,120225,0,0,0,0
2021-05-13,中国,CN,河北省,130000,,,1317,0,1310,7
2021-05-13,中国,CN,河北省,130000,境外输入,1300y0,36,0,36,0
2021-05-13,中国,CN,河北省,130000,石家庄市,130100,898,0,897,1
2021-05-13,中国,CN,河北省,130000,唐山市,130200,58,0,57,1
2021-05-13,中国,CN,河北省,130000,秦皇岛市,130300,10,0,9,1
2021-05-13,中国,CN,河北省,130000,邯郸市,130400,32,0,32,0
2021-05-13,中国,CN,河北省,130000,邢台市,130500,94,0,93,1
2021-05-13,中国,CN,河北省,130000,保定市,130600,34,0,34,0
2021-05-13,中国,CN,河北省,130000,雄县,130638,13,0,13,0
2021-05-13,中国,CN,河北省,130000,定州市,130682,2,0,2,0
2021-05-13,中国,CN,河北省,130000,张家口市,130700,43,0,43,0
2021-05-13,中国,CN,河北省,130000,承德市,130800,7,0,7,0
2021-05-13,中国,CN,河北省,130000,沧州市,130900,49,0,46,3
2021-05-13,中国,CN,河北省,130000,廊坊市,131000,33,0,33,0
2021-05-13,中国,CN,河北省,130000,衡水市,131100,8,0,8,0
2021-05-13,中国,CN,山西省,140000,,,251,0,244,0
2021-05-13,中国,CN,山西省,140000,境外输入,1400y0,113,0,106,0
2021-05-13,中国,CN,山西省,140000,太原市,140100,21,0,21,0
2021-05-13,中国,CN,山西省,140000,大同市,140200,12,0,12,0
2021-05-13,中国,CN,山西省,140000,阳泉市,140300,4,0,4,0
2021-05-13,中国,CN,山西省,140000,长治市,140400,8,0,8,0
2021-05-13,中国,CN,山西省,140000,晋城市,140500,10,0,10,0
2021-05-13,中国,CN,山西省,140000,朔州市,140600,8,0,8,0
2021-05-13,中国,CN,山西省,140000,晋中市,140700,41,0,41,0
2021-05-13,中国,CN,山西省,140000,运城市,140800,19,0,19,0
2021-05-13,中国,CN,山西省,140000,忻州市,140900,7,0,7,0
2021-05-13,中国,CN,山西省,140000,临汾市,141000,2,0,2,0
2021-05-13,中国,CN,山西省,140000,吕梁市,141100,6,0,6,0
2021-05-13,中国,CN,内蒙古自治区,150000,,,383,0,378,1
2021-05-13,中国,CN,内蒙古自治区,150000,境外输入,1500y0,278,0,274,0
2021-05-13,中国,CN,内蒙古自治区,150000,呼和浩特市,150100,7,0,7,0
2021-05-13,中国,CN,内蒙古自治区,150000,包头市,150200,11,0,11,0
2021-05-13,中国,CN,内蒙古自治区,150000,乌海市,150300,2,0,2,0
2021-05-13,中国,CN,内蒙古自治区,150000,赤峰市,150400,9,0,9,0
2021-05-13,中国,CN,内蒙古自治区,150000,通辽市,150500,7,0,7,0
2021-05-13,中国,CN,内蒙古自治区,150000,鄂尔多斯市,150600,11,0,11,0
2021-05-13,中国,CN,内蒙古自治区,150000,呼伦贝尔市,150700,37,0,37,0
2021-05-13,中国,CN,内蒙古自治区,150000,巴彦淖尔市,150800,8,0,7,1
2021-05-13,中国,CN,内蒙古自治区,150000,乌兰察布市,150900,3,0,3,0
2021-05-13,中国,CN,内蒙古自治区,150000,兴安盟,152200,1,0,1,0
2021-05-13,中国,CN,内蒙古自治区,150000,锡林郭勒盟,152500,9,0,9,0
2021-05-13,中国,CN,内蒙古自治区,150000,阿拉善盟,152900,0,0,0,0
2021-05-13,中国,CN,辽宁省,210000,,,408,0,406,2
2021-05-13,中国,CN,辽宁省,210000,境外输入,2100y0,97,0,97,0
2021-05-13,中国,CN,辽宁省,210000,沈阳市,210100,70,0,70,0
2021-05-13,中国,CN,辽宁省,210000,大连市,210200,161,0,161,0
2021-05-13,中国,CN,辽宁省,210000,鞍山市,210300,4,0,4,0
2021-05-13,中国,CN,辽宁省,210000,抚顺市,210400,1,0,1,0
