date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-05-12,荷属安的列斯,,,,,,12236,0,11992,117
2021-05-12,圣马丁,,,,,,2263,0,2206,27
2021-05-12,钻石公主号邮轮,,,,,,712,0,653,13
2021-05-12,安道尔,AD,,,,,13447,0,13070,127
2021-05-12,阿联酋,AE,,,,,540646,0,520882,1619
2021-05-12,阿富汗,AF,,,,,62942,0,54534,2721
2021-05-12,安提瓜和巴布达,AG,,,,,1240,0,1179,32
2021-05-12,安圭拉,AI,,,,,109,0,89,0
2021-05-12,阿尔巴尼亚,AL,,,,,131803,0,119061,2420
2021-05-12,亚美尼亚,AM,,,,,219950,0,206078,4272
2021-05-12,安哥拉,AO,,,,,29146,0,25145,639
2021-05-12,阿根廷,AR,,,,,3191097,0,2854364,68311
2021-05-12,奥地利,AT,,,,,633960,0,609666,10428
2021-05-12,澳大利亚,AU,,,,,29946,0,28815,910
2021-05-12,阿鲁巴,AW,,,,,10795,0,10596,104
2021-05-12,阿塞拜疆,AZ,,,,,328159,0,309771,4726
2021-05-12,波黑,BA,,,,,201796,0,167704,8943
2021-05-12,巴巴多斯,BB,,,,,3950,0,3870,45
2021-05-12,孟加拉国,BD,,,,,777397,0,718249,12045
2021-05-12,比利时,BE,,,,,1020332,0,888546,24609
2021-05-12,布基纳法索,BF,,,,,13384,0,13180,164
2021-05-12,保加利亚,BG,,,,,412157,0,353619,17104
2021-05-12,巴林,BH,,,,,192750,0,177212,697
2021-05-12,布隆迪,BI,,,,,4208,0,773,6
2021-05-12,贝宁,BJ,,,,,7995,0,7652,101
2021-05-12,圣巴泰勒米,BL,,,,,974,0,462,1
2021-05-12,百慕大,BM,,,,,2455,0,2182,31
2021-05-12,文莱,BN,,,,,230,0,218,3
2021-05-12,玻利维亚,BO,,,,,320209,0,262970,13258
2021-05-12,巴西,BR,,,,,15285048,0,13847191,425711
2021-05-12,巴哈马,BS,,,,,10908,0,9854,214
2021-05-12,不丹,BT,,,,,1257,0,1121,1
2021-05-12,博茨瓦纳,BW,,,,,49041,0,46290,751
2021-05-12,白俄罗斯,BY,,,,,371405,0,362112,2661
2021-05-12,伯利兹,BZ,,,,,12704,0,12307,323
2021-05-12,加拿大,CA,,,,,1299572,0,1196819,24714
2021-05-12,刚果（金）,CD,,,,,30392,0,26434,775
2021-05-12,中非,CF,,,,,6674,0,5112,93
2021-05-12,刚果（布）,CG,,,,,11343,0,8208,148
2021-05-12,瑞士,CH,,,,,677210,0,612471,10724
2021-05-12,科特迪瓦,CI,,,,,46484,0,45910,292
2021-05-12,智利,CL,,,,,1256546,0,1193927,27356
2021-05-12,喀麦隆,CM,,,,,74946,0,70497,1152
2021-05-12,中国,CN,,,,,103902,0,98532,4858
2021-05-12,中国,CN,北京市,110000,,,1057,0,1046,9
2021-05-12,中国,CN,北京市,110000,未公布来源,1100xx,6,0,822,9
2021-05-12,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-05-12,中国,CN,北京市,110000,境外输入,1100y0,229,0,197,0
2021-05-12,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-05-12,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-05-12,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-05-12,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-05-12,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-05-12,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-05-12,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-05-12,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-05-12,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-05-12,中国,CN,北京市,110000,顺义区,110113,45,0,1,0
2021-05-12,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-05-12,中国,CN,北京市,110000,大兴区,110115,134,0,16,0
2021-05-12,中国,CN,北京市,110000,怀柔区,110116,8,0,0,0
2021-05-12,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2021-05-12,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2021-05-12,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2021-05-12,中国,CN,天津市,120000,,,388,0,378,3
2021-05-12,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2021-05-12,中国,CN,天津市,120000,境外输入,1200y0,241,0,234,0
2021-05-12,中国,CN,天津市,120000,和平区,120101,6,0,6,0
