date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-06-11,荷属安的列斯,,,,,,12293,0,12140,123
2021-06-11,圣马丁,,,,,,2503,0,2402,30
2021-06-11,钻石公主号邮轮,,,,,,712,0,653,13
2021-06-11,安道尔,AD,,,,,13813,0,13591,127
2021-06-11,阿联酋,AE,,,,,593894,0,573194,1720
2021-06-11,阿富汗,AF,,,,,88888,0,60598,3460
2021-06-11,安提瓜和巴布达,AG,,,,,1263,0,1214,42
2021-06-11,安圭拉,AI,,,,,109,0,109,0
2021-06-11,阿尔巴尼亚,AL,,,,,132437,0,129807,2453
2021-06-11,亚美尼亚,AM,,,,,223555,0,214998,4482
2021-06-11,安哥拉,AO,,,,,36455,0,30101,819
2021-06-11,阿根廷,AR,,,,,4093090,0,3668672,84628
2021-06-11,奥地利,AT,,,,,648187,0,633105,10652
2021-06-11,澳大利亚,AU,,,,,30228,0,29156,910
2021-06-11,阿鲁巴,AW,,,,,11072,0,10950,107
2021-06-11,阿塞拜疆,AZ,,,,,335065,0,328194,4951
2021-06-11,波黑,BA,,,,,204597,0,177122,9479
2021-06-11,巴巴多斯,BB,,,,,4033,0,3968,47
2021-06-11,孟加拉国,BD,,,,,822849,0,761916,13032
2021-06-11,比利时,BE,,,,,1074204,0,992815,25068
2021-06-11,布基纳法索,BF,,,,,13456,0,13268,167
2021-06-11,保加利亚,BG,,,,,420213,0,389368,17893
2021-06-11,巴林,BH,,,,,256921,0,240529,1196
2021-06-11,布隆迪,BI,,,,,4975,0,773,8
2021-06-11,贝宁,BJ,,,,,8109,0,7979,102
2021-06-11,圣巴泰勒米,BL,,,,,1005,0,462,1
2021-06-11,百慕大,BM,,,,,2497,0,2455,33
2021-06-11,文莱,BN,,,,,248,0,239,3
2021-06-11,玻利维亚,BO,,,,,400047,0,315304,15321
2021-06-11,巴西,BR,,,,,17301220,0,15718593,484350
2021-06-11,巴哈马,BS,,,,,12092,0,11081,236
2021-06-11,不丹,BT,,,,,1789,0,1440,1
2021-06-11,博茨瓦纳,BW,,,,,59480,0,55617,896
2021-06-11,白俄罗斯,BY,,,,,403845,0,396650,2958
2021-06-11,伯利兹,BZ,,,,,12938,0,12463,325
2021-06-11,加拿大,CA,,,,,1399716,0,1355419,25886
2021-06-11,刚果（金）,CD,,,,,34695,0,27823,831
2021-06-11,中非,CF,,,,,7101,0,6859,98
2021-06-11,刚果（布）,CG,,,,,12026,0,11110,157
2021-06-11,瑞士,CH,,,,,700051,0,666384,10859
2021-06-11,科特迪瓦,CI,,,,,47638,0,47135,306
2021-06-11,智利,CL,,,,,1461419,0,1382124,30472
2021-06-11,喀麦隆,CM,,,,,80090,0,77305,1310
2021-06-11,中国,CN,,,,,115820,10,99089,5231
2021-06-11,中国,CN,北京市,110000,,,1069,0,1048,9
2021-06-11,中国,CN,北京市,110000,未公布来源,1100xx,6,0,822,9
2021-06-11,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-06-11,中国,CN,北京市,110000,境外输入,1100y0,241,0,199,0
2021-06-11,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-06-11,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-06-11,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-06-11,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-06-11,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-06-11,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-06-11,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-06-11,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-06-11,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-06-11,中国,CN,北京市,110000,顺义区,110113,45,0,1,0
2021-06-11,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-06-11,中国,CN,北京市,110000,大兴区,110115,134,0,16,0
2021-06-11,中国,CN,北京市,110000,怀柔区,110116,8,0,0,0
2021-06-11,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2021-06-11,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2021-06-11,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2021-06-11,中国,CN,天津市,120000,,,396,0,385,3
2021-06-11,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2021-06-11,中国,CN,天津市,120000,境外输入,1200y0,249,0,241,0
2021-06-11,中国,CN,天津市,120000,和平区,120101,6,0,6,0
2021-06-11,中国,CN,天津市,120000,河东区,120102,15,0,14,1
2021-06-11,中国,CN,天津市,120000,河西区,120103,4,0,4,0
2021-06-11,中国,CN,天津市,120000,南开区,120104,6,0,6,0
2021-06-11,中国,CN,天津市,120000,河北区,120105,12,0,12,0
2021-06-11,中国,CN,天津市,120000,红桥区,120106,2,0,2,0
2021-06-11,中国,CN,天津市,120000,东丽区,120110,4,0,4,0
2021-06-11,中国,CN,天津市,120000,西青区,120111,4,0,4,0
2021-06-11,中国,CN,天津市,120000,津南区,120112,2,0,2,0
2021-06-11,中国,CN,天津市,120000,北辰区,120113,7,0,7,0
2021-06-11,中国,CN,天津市,120000,武清区,120114,2,0,2,0
2021-06-11,中国,CN,天津市,120000,宝坻区,120115,60,0,58,2
2021-06-11,中国,CN,天津市,120000,滨海新区,120116,13,0,13,0
2021-06-11,中国,CN,天津市,120000,宁河区,120117,4,0,4,0
2021-06-11,中国,CN,天津市,120000,静海区,120118,0,0,0,0
2021-06-11,中国,CN,天津市,120000,蓟州,120225,0,0,0,0
2021-06-11,中国,CN,河北省,130000,,,1317,0,1310,7
2021-06-11,中国,CN,河北省,130000,境外输入,1300y0,36,0,36,0
2021-06-11,中国,CN,河北省,130000,石家庄市,130100,898,0,897,1
2021-06-11,中国,CN,河北省,130000,唐山市,130200,58,0,57,1
2021-06-11,中国,CN,河北省,130000,秦皇岛市,130300,10,0,9,1
2021-06-11,中国,CN,河北省,130000,邯郸市,130400,32,0,32,0
