date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-06-13,荷属安的列斯,,,,,,12293,0,12140,123
2021-06-13,圣马丁,,,,,,2518,0,2414,31
2021-06-13,钻石公主号邮轮,,,,,,712,0,653,13
2021-06-13,安道尔,AD,,,,,13813,0,13591,127
2021-06-13,阿联酋,AE,,,,,596017,0,575288,1724
2021-06-13,阿富汗,AF,,,,,89861,0,60939,3527
2021-06-13,安提瓜和巴布达,AG,,,,,1263,0,1214,42
2021-06-13,安圭拉,AI,,,,,109,0,109,0
2021-06-13,阿尔巴尼亚,AL,,,,,132449,0,129826,2453
2021-06-13,亚美尼亚,AM,,,,,223643,0,215118,4482
2021-06-13,安哥拉,AO,,,,,36600,0,30207,825
2021-06-13,阿根廷,AR,,,,,4111147,0,3695288,85075
2021-06-13,奥地利,AT,,,,,648387,0,633538,10652
2021-06-13,澳大利亚,AU,,,,,30247,0,29189,910
2021-06-13,阿鲁巴,AW,,,,,11076,0,10951,107
2021-06-13,阿塞拜疆,AZ,,,,,335126,0,328398,4953
2021-06-13,波黑,BA,,,,,204597,0,177122,9479
2021-06-13,巴巴多斯,BB,,,,,4036,0,3971,47
2021-06-13,孟加拉国,BD,,,,,824486,0,764024,13071
2021-06-13,比利时,BE,,,,,1075765,0,992815,25081
2021-06-13,布基纳法索,BF,,,,,13459,0,13272,167
2021-06-13,保加利亚,BG,,,,,420294,0,389402,17898
2021-06-13,巴林,BH,,,,,257852,0,242678,1206
2021-06-13,布隆迪,BI,,,,,4995,0,773,8
2021-06-13,贝宁,BJ,,,,,8109,0,7979,102
2021-06-13,圣巴泰勒米,BL,,,,,1005,0,462,1
2021-06-13,百慕大,BM,,,,,2497,0,2455,33
2021-06-13,文莱,BN,,,,,248,0,239,3
2021-06-13,玻利维亚,BO,,,,,405347,0,319666,15485
2021-06-13,巴西,BR,,,,,17376998,0,15761177,486358
2021-06-13,巴哈马,BS,,,,,12092,0,11081,236
2021-06-13,不丹,BT,,,,,1808,0,1440,1
2021-06-13,博茨瓦纳,BW,,,,,59480,0,55617,896
2021-06-13,白俄罗斯,BY,,,,,404740,0,397587,2969
2021-06-13,伯利兹,BZ,,,,,12938,0,12463,325
2021-06-13,加拿大,CA,,,,,1401006,0,1357493,25914
2021-06-13,刚果（金）,CD,,,,,34949,0,27825,834
2021-06-13,中非,CF,,,,,7101,0,6859,98
2021-06-13,刚果（布）,CG,,,,,12121,0,11211,160
2021-06-13,瑞士,CH,,,,,700051,0,666384,10859
2021-06-13,科特迪瓦,CI,,,,,47662,0,47178,306
2021-06-13,智利,CL,,,,,1468992,0,1391016,30579
2021-06-13,喀麦隆,CM,,,,,80090,0,77305,1310
2021-06-13,中国,CN,,,,,116104,2,99112,5257
2021-06-13,中国,CN,北京市,110000,,,1069,0,1048,9
2021-06-13,中国,CN,北京市,110000,未公布来源,1100xx,6,0,822,9
2021-06-13,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-06-13,中国,CN,北京市,110000,境外输入,1100y0,241,0,199,0
2021-06-13,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-06-13,中国,CN,北京市,110000,西城区,110102,59,0,2,0
