date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-04-15,荷属安的列斯,,,,,,11581,0,7666,78
2021-04-15,圣马丁,,,,,,2196,0,2133,27
2021-04-15,钻石公主号邮轮,,,,,,712,0,653,13
2021-04-15,安道尔,AD,,,,,12641,0,11989,121
2021-04-15,阿联酋,AE,,,,,489495,0,473398,1541
2021-04-15,阿富汗,AF,,,,,57534,0,52022,2533
2021-04-15,安提瓜和巴布达,AG,,,,,1201,0,947,31
2021-04-15,安圭拉,AI,,,,,25,0,22,0
2021-04-15,阿尔巴尼亚,AL,,,,,128959,0,99441,2331
2021-04-15,亚美尼亚,AM,,,,,206142,0,185125,3817
2021-04-15,安哥拉,AO,,,,,23841,0,22144,557
2021-04-15,阿根廷,AR,,,,,2604157,0,2278486,58542
2021-04-15,奥地利,AT,,,,,586883,0,547604,9813
2021-04-15,澳大利亚,AU,,,,,29457,0,26381,910
2021-04-15,阿鲁巴,AW,,,,,10159,0,9573,92
2021-04-15,阿塞拜疆,AZ,,,,,291894,0,255833,4009
2021-04-15,波黑,BA,,,,,186372,0,143944,7642
2021-04-15,巴巴多斯,BB,,,,,3744,0,3634,44
2021-04-15,孟加拉国,BD,,,,,703170,0,591299,9987
2021-04-15,比利时,BE,,,,,935316,0,60320,23603
2021-04-15,布基纳法索,BF,,,,,13050,0,12689,154
2021-04-15,保加利亚,BG,,,,,380576,0,296998,14871
2021-04-15,巴林,BH,,,,,159964,0,148093,569
2021-04-15,布隆迪,BI,,,,,3333,0,773,6
2021-04-15,贝宁,BJ,,,,,7611,0,6728,95
2021-04-15,圣巴泰勒米,BL,,,,,907,0,462,1
2021-04-15,百慕大,BM,,,,,1935,0,1051,16
2021-04-15,文莱,BN,,,,,221,0,206,3
2021-04-15,玻利维亚,BO,,,,,285291,0,234596,12519
2021-04-15,巴西,BR,,,,,13677564,0,12170771,362180
2021-04-15,巴哈马,BS,,,,,9505,0,8965,190
2021-04-15,不丹,BT,,,,,929,0,876,1
2021-04-15,博茨瓦纳,BW,,,,,43444,0,38923,663
2021-04-15,白俄罗斯,BY,,,,,338801,0,329135,2383
2021-04-15,伯利兹,BZ,,,,,12522,0,12140,318
2021-04-15,加拿大,CA,,,,,1087152,0,983506,23445
2021-04-15,刚果（金）,CD,,,,,28714,0,25841,745
2021-04-15,中非,CF,,,,,5682,0,5112,75
2021-04-15,刚果（布）,CG,,,,,10084,0,8208,139
2021-04-15,瑞士,CH,,,,,627968,0,563438,10488
2021-04-15,科特迪瓦,CI,,,,,45388,0,44833,271
2021-04-15,智利,CL,,,,,1094267,0,1026934,24548
2021-04-15,喀麦隆,CM,,,,,61731,0,56926,919
2021-04-15,中国,CN,,,,,103186,3,97838,4856
2021-04-15,中国,CN,北京市,110000,,,1057,0,1038,9
2021-04-15,中国,CN,北京市,110000,未公布来源,1100xx,6,0,816,9
2021-04-15,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-04-15,中国,CN,北京市,110000,境外输入,1100y0,229,0,195,0
2021-04-15,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-04-15,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-04-15,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-04-15,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-04-15,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-04-15,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-04-15,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-04-15,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-04-15,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-04-15,中国,CN,北京市,110000,顺义区,110113,45,0,1,0
2021-04-15,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-04-15,中国,CN,北京市,110000,大兴区,110115,134,0,16,0
2021-04-15,中国,CN,北京市,110000,怀柔区,110116,8,0,0,0
2021-04-15,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2021-04-15,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2021-04-15,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2021-04-15,中国,CN,天津市,120000,,,377,0,369,3
2021-04-15,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2021-04-15,中国,CN,天津市,120000,境外输入,1200y0,230,0,225,0
2021-04-15,中国,CN,天津市,120000,和平区,120101,6,0,6,0
2021-04-15,中国,CN,天津市,120000,河东区,120102,15,0,14,1
2021-04-15,中国,CN,天津市,120000,河西区,120103,4,0,4,0
2021-04-15,中国,CN,天津市,120000,南开区,120104,6,0,6,0
2021-04-15,中国,CN,天津市,120000,河北区,120105,12,0,12,0
2021-04-15,中国,CN,天津市,120000,红桥区,120106,2,0,2,0
2021-04-15,中国,CN,天津市,120000,东丽区,120110,4,0,4,0
2021-04-15,中国,CN,天津市,120000,西青区,120111,4,0,4,0
2021-04-15,中国,CN,天津市,120000,津南区,120112,2,0,2,0
2021-04-15,中国,CN,天津市,120000,北辰区,120113,7,0,7,0
2021-04-15,中国,CN,天津市,120000,武清区,120114,2,0,2,0
2021-04-15,中国,CN,天津市,120000,宝坻区,120115,60,0,58,2
2021-04-15,中国,CN,天津市,120000,滨海新区,120116,13,0,13,0
2021-04-15,中国,CN,天津市,120000,宁河区,120117,4,0,4,0
2021-04-15,中国,CN,天津市,120000,静海区,120118,0,0,0,0
2021-04-15,中国,CN,天津市,120000,蓟州,120225,0,0,0,0
2021-04-15,中国,CN,河北省,130000,,,1317,0,1310,7
2021-04-15,中国,CN,河北省,130000,境外输入,1300y0,36,0,36,0
2021-04-15,中国,CN,河北省,130000,石家庄市,130100,898,0,897,1
2021-04-15,中国,CN,河北省,130000,唐山市,130200,58,0,57,1
2021-04-15,中国,CN,河北省,130000,秦皇岛市,130300,10,0,9,1
2021-04-15,中国,CN,河北省,130000,邯郸市,130400,32,0,32,0
2021-04-15,中国,CN,河北省,130000,邢台市,130500,94,0,93,1
2021-04-15,中国,CN,河北省,130000,保定市,130600,34,0,34,0
2021-04-15,中国,CN,河北省,130000,雄县,130638,13,0,13,0
2021-04-15,中国,CN,河北省,130000,定州市,130682,2,0,2,0
2021-04-15,中国,CN,河北省,130000,张家口市,130700,43,0,43,0
2021-04-15,中国,CN,河北省,130000,承德市,130800,7,0,7,0
2021-04-15,中国,CN,河北省,130000,沧州市,130900,49,0,46,3
2021-04-15,中国,CN,河北省,130000,廊坊市,131000,33,0,33,0
2021-04-15,中国,CN,河北省,130000,衡水市,131100,8,0,8,0
2021-04-15,中国,CN,山西省,140000,,,249,0,240,0
2021-04-15,中国,CN,山西省,140000,境外输入,1400y0,111,0,102,0
2021-04-15,中国,CN,山西省,140000,太原市,140100,21,0,21,0
2021-04-15,中国,CN,山西省,140000,大同市,140200,12,0,12,0
2021-04-15,中国,CN,山西省,140000,阳泉市,140300,4,0,4,0
2021-04-15,中国,CN,山西省,140000,长治市,140400,8,0,8,0
2021-04-15,中国,CN,山西省,140000,晋城市,140500,10,0,10,0
2021-04-15,中国,CN,山西省,140000,朔州市,140600,8,0,8,0
2021-04-15,中国,CN,山西省,140000,晋中市,140700,41,0,41,0
2021-04-15,中国,CN,山西省,140000,运城市,140800,19,0,19,0
2021-04-15,中国,CN,山西省,140000,忻州市,140900,7,0,7,0
2021-04-15,中国,CN,山西省,140000,临汾市,141000,2,0,2,0
2021-04-15,中国,CN,山西省,140000,吕梁市,141100,6,0,6,0
2021-04-15,中国,CN,内蒙古自治区,150000,,,377,0,374,1
2021-04-15,中国,CN,内蒙古自治区,150000,境外输入,1500y0,272,0,270,0
