date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-01-13,荷属安的列斯,,,,,,4469,0,4023,19
2021-01-13,圣马丁,,,,,,1589,0,1460,27
2021-01-13,钻石公主号邮轮,,,,,,712,0,653,13
2021-01-13,安道尔,AD,,,,,8745,0,7966,87
2021-01-13,阿联酋,AE,,,,,239587,0,213149,723
2021-01-13,阿富汗,AF,,,,,53774,0,44850,2317
2021-01-13,安提瓜和巴布达,AG,,,,,176,0,152,5
2021-01-13,安圭拉,AI,,,,,15,0,13,0
2021-01-13,阿尔巴尼亚,AL,,,,,64627,0,38421,1252
2021-01-13,亚美尼亚,AM,,,,,163128,0,151246,2951
2021-01-13,安哥拉,AO,,,,,18343,0,15512,422
2021-01-13,阿根廷,AR,,,,,1744704,0,1527861,44848
2021-01-13,奥地利,AT,,,,,385750,0,359692,6868
2021-01-13,澳大利亚,AU,,,,,28647,0,25860,909
2021-01-13,阿鲁巴,AW,,,,,6154,0,5511,52
2021-01-13,阿塞拜疆,AZ,,,,,225346,0,210798,2941
2021-01-13,波黑,BA,,,,,116200,0,82822,4373
2021-01-13,巴巴多斯,BB,,,,,968,0,408,7
2021-01-13,孟加拉国,BD,,,,,524910,0,469522,7833
2021-01-13,比利时,BE,,,,,667322,0,46417,20194
2021-01-13,布基纳法索,BF,,,,,8463,0,6028,92
2021-01-13,保加利亚,BG,,,,,209881,0,140548,8279
2021-01-13,巴林,BH,,,,,96195,0,92920,356
2021-01-13,布隆迪,BI,,,,,1019,0,773,2
2021-01-13,贝宁,BJ,,,,,3363,0,3222,46
2021-01-13,圣巴泰勒米,BL,,,,,206,0,172,1
2021-01-13,百慕大,BM,,,,,661,0,558,12
2021-01-13,文莱,BN,,,,,174,0,153,3
2021-01-13,玻利维亚,BO,,,,,176761,0,139672,9454
2021-01-13,巴西,BR,,,,,8195637,0,7273707,204726
2021-01-13,巴哈马,BS,,,,,8004,0,6331,175
2021-01-13,不丹,BT,,,,,831,0,481,1
2021-01-13,博茨瓦纳,BW,,,,,16768,0,13310,59
2021-01-13,白俄罗斯,BY,,,,,215724,0,197851,1535
2021-01-13,伯利兹,BZ,,,,,11366,0,10502,277
2021-01-13,加拿大,CA,,,,,674473,0,576447,17233
2021-01-13,刚果（金）,CD,,,,,20003,0,14767,626
2021-01-13,中非,CF,,,,,4973,0,4885,63
2021-01-13,刚果（布）,CG,,,,,7160,0,5846,112
2021-01-13,瑞士,CH,,,,,487357,0,317600,8470
2021-01-13,科特迪瓦,CI,,,,,24186,0,22740,140
2021-01-13,智利,CL,,,,,649135,0,608804,17182
2021-01-13,喀麦隆,CM,,,,,27336,0,24892,451
2021-01-13,中国,CN,,,,,98045,1,91660,4802
2021-01-13,中国,CN,北京市,110000,,,998,0,951,9
2021-01-13,中国,CN,北京市,110000,未公布来源,1100xx,6,0,730,9
2021-01-13,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-01-13,中国,CN,北京市,110000,境外输入,1100y0,205,0,194,0
2021-01-13,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-01-13,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-01-13,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-01-13,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-01-13,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-01-13,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-01-13,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-01-13,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-01-13,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-01-13,中国,CN,北京市,110000,顺义区,110113,40,0,1,0
2021-01-13,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-01-13,中国,CN,北京市,110000,大兴区,110115,104,0,16,0
